"First","Last","League","Team","Position","Games","AB","Hits","Ave","Runs","Doubles","Triples","Homeruns","RBI","BB","SO","OPS","SLG","OBP","SB","CS"
"Jorge","Posada","American","NY","C",142,474,124,0.2616033755274262,67,23,0,19,71,66,94,0.782,0.43037974683544306,0.352,1,0
"Albert","Pujols","National","STL","1B",161,591,195,0.3299492385786802,129,38,2,41,117,97,65,1.039,0.6091370558375635,0.43,16,2
"Nick","Punto","American","MIN","2B",112,394,94,0.23857868020304568,45,18,4,4,26,36,86,0.636,0.3350253807106599,0.301,13,8
"Aramis","Ramirez","National","CHI","3B",123,463,140,0.3023758099352052,72,30,0,31,92,35,60,0.926,0.5680345572354212,0.358,0,1
"Manny","Ramirez","American","BOS","OF",152,554,162,0.2924187725631769,112,30,1,45,144,80,119,0.982,0.5938628158844765,0.388,1,0
"Joe","Randa","National","CIN","3B",150,555,153,0.2756756756756757,71,43,2,17,68,47,81,0,0.45225225225225224,0.33222591362126247,0,1
"Tike","Redman","National","PIT","OF",135,319,80,0.2507836990595611,33,12,4,2,26,19,27,0.625,0.3322884012539185,0.292,4,1
"Jeremy","Reed","American","SEA","OF",141,488,124,0.2540983606557377,61,33,3,3,45,48,74,0.675,0.3524590163934426,0.322,12,11
"edgar","Renteria","American","BOS","SS",153,623,172,0.27608346709470305,100,36,4,8,70,55,100,0.721,0.3852327447833066,0.335,9,4
"Jose","Reyes","National","NY","SS",161,696,190,0.27298850574712646,99,24,17,7,58,27,78,0.687,0.3864942528735632,0.3,60,15
"Alex","Rios","American","TOR","OF",146,481,126,0.26195426195426197,71,23,6,10,59,28,101,0.703,0.3970893970893971,0.306,14,9
"Juan","Rivera","American","ANA","OF",106,350,95,0.2714285714285714,46,17,1,15,59,23,44,0.77,0.4542857142857143,0.316,1,9
"Brian","Roberts","American","BAL","2B",143,561,176,0.3137254901960784,92,45,7,18,73,67,83,0.903,0.5151515151515151,0.387,27,10
"Dave","Roberts","National","SD","OF",115,411,113,0.2749391727493917,65,19,10,8,38,53,59,0.784,0.4282238442822384,0.356,23,12
"Oscar","Robles","National","LA","SS",110,364,99,0.27197802197802196,44,18,1,5,34,31,33,0.7,0.36813186813186816,0.332,0,8
"Alex","Rodriguez","American","NY","3B",162,605,194,0.32066115702479336,124,29,1,48,130,91,139,1.031,0.6099173553719008,0.421,21,6
"Ivan","Rodriguez","American","DET","C",129,504,139,0.2757936507936508,71,33,5,14,50,11,93,0.735,0.4444444444444444,0.29,7,3
"Jimmy","Rollins","National","PHI","SS",158,677,196,0.2895125553914328,115,38,11,12,54,47,71,0.77,0.43131462333825704,0.338,41,6
"Aaron","Rowand","American","CHI","OF",157,578,156,0.2698961937716263,77,30,5,13,69,32,116,0.736,0.40657439446366783,0.329,16,5
"Olmedo","Saenz","National","LA","1B",109,319,84,0.26332288401253917,39,24,0,15,63,27,63,0.804,0.47962382445141066,0.325,0,1
"Freddy","Sanchez","National","PIT","3B",132,453,132,0.2913907284768212,54,26,4,5,35,27,36,0.736,0.3995584988962472,0.336,2,2
"Brian","Schneider","National","WAS","C",116,369,99,0.2682926829268293,38,20,1,10,44,29,48,0.739,0.4092140921409214,0.33,1,0
"Marco","Scutaro","American","OAK","SS",118,381,94,0.24671916010498687,48,22,3,9,37,36,48,0.701,0.3910761154855643,0.31,5,2
"Richie","Sexson","American","SEA","1B",156,558,147,0.26344086021505375,99,36,1,39,121,89,167,0.91,0.5412186379928315,0.369,1,1
"Gary","Sheffield","American","NY","OF",154,584,170,0.2910958904109589,104,27,0,34,123,78,76,0.891,0.511986301369863,0.379,10,2
"Chris","Shelton","American","DET","1B",107,388,116,0.29896907216494845,61,22,3,18,59,34,87,0.87,0.5103092783505154,0.36,0,0
"Grady","Sizemore","American","CLE","OF",158,640,185,0.2890625,111,37,11,22,81,52,132,0.832,0.484375,0.348,22,10
"J.T.","Snow","National","SF","1B",117,367,101,0.27520435967302453,40,17,2,4,40,32,61,0.708,0.3651226158038147,0.343,1,0
"Chris","Snyder","National","ARI","C",115,326,66,0.20245398773006135,24,14,0,6,28,40,87,0.598,0.3006134969325153,0.297,0,1
"Alfonso","Soriano","American","TEX","2B",156,637,171,0.2684458398744113,102,43,2,36,104,33,125,0.821,0.5117739403453689,0.309,30,2
"Sammy","Sosa","American","BAL","OF",102,380,84,0.22105263157894736,39,15,1,14,45,39,84,0.671,0.3763157894736842,0.295,1,1
"Matt","Stairs","American","KC","1B",127,396,109,0.27525252525252525,55,26,1,13,66,60,69,0.818,0.4444444444444444,0.373,1,2
"Shannon","Stewart","American","MIN","OF",132,551,151,0.27404718693284935,69,27,3,10,56,34,73,0.711,0.38838475499092556,0.323,7,5
"Cory","Sullivan","National","COL","OF",139,378,111,0.29365079365079366,64,15,4,4,30,28,83,0.729,0.3862433862433862,0.343,12,3
"B.J.","Surhoff","American","BAL","OF",91,303,78,0.25742574257425743,30,11,2,5,34,11,32,0.639,0.3564356435643564,0.282,0,0
"Ichiro","Suzuki","American","SEA","OF",162,679,206,0.30338733431516934,111,21,12,15,68,48,66,0.786,0.43593519882179677,0.35,33,8
"Mike","Sweeney","American","KC","1B",122,470,141,0.3,63,39,0,21,83,33,61,0.864,0.5170212765957447,0.347,3,0
"Nick","Swisher","American","OAK","OF",131,462,109,0.23593073593073594,66,32,1,21,74,55,110,0.768,0.4458874458874459,0.322,0,1
"So","Taguchi","National","STL","OF",143,396,114,0.2878787878787879,45,21,2,8,53,20,62,0.734,0.4116161616161616,0.322,11,2
"Willy","Taveras","National","HOU","OF",152,592,172,0.2905405405405405,82,13,4,3,29,25,103,0.666,0.34121621621621623,0.325,34,11
"Mark","Teahen","American","KC","3B",130,447,110,0.24608501118568232,60,29,4,7,55,40,107,0.685,0.37583892617449666,0.309,7,2
"Mark","Teixeira","American","TEX","1B",162,644,194,0.30124223602484473,112,41,3,43,144,72,124,0.954,0.5745341614906833,0.379,4,0
"Miguel","Tejada","American","BAL","SS",162,654,199,0.30428134556574926,89,50,5,26,98,40,83,0.865,0.5152905198776758,0.349,5,1
"Chad","Tracy","National","ARI","1B",145,503,155,0.3081510934393638,73,34,4,27,72,35,78,0.911,0.5526838966202783,0.359,3,1
"Juan","Uribe","American","CHI","SS",146,481,121,0.2515592515592516,58,23,3,16,71,34,77,0.712,0.41164241164241167,0.301,4,6
"Chase","Utley","National","PHI","2B",147,543,158,0.29097605893186,93,39,6,28,105,69,109,0.915,0.5395948434622467,0.376,16,3
"Jason","Varitek","American","BOS","C",133,470,132,0.28085106382978725,70,30,1,22,70,62,117,0.856,0.48936170212765956,0.366,2,0
"Jose","Vidro","National","WAS","2B",87,309,85,0.2750809061488673,38,21,2,7,32,31,30,0.763,0.42394822006472493,0.339,0,0
"Omar","Vizquel","National","SF","SS",152,568,154,0.2711267605633803,66,28,4,3,45,56,58,0.691,0.3503521126760563,0.341,24,10
"Larry","Walker","National","STL","OF",100,315,91,0.28888888888888886,66,20,1,15,52,41,64,0.886,0.5015873015873016,0.384,2,1
"Todd","Walker","National","CHI","2B",110,397,121,0.3047858942065491,50,25,3,12,40,31,40,0.829,0.473551637279597,0.355,1,1
"Daryle","Ward","National","PIT","1B",133,407,106,0.26044226044226043,46,21,1,12,63,37,60,0.723,0.40540540540540543,0.318,0,2
"Rickie","Weeks","National","MIL","2B",96,360,86,0.2388888888888889,56,13,2,13,42,40,96,0.727,0.39444444444444443,0.333,15,2
"Vernon","Wells","American","TOR","OF",156,620,167,0.2693548387096774,78,30,3,28,97,47,86,0.783,0.4629032258064516,0.32,8,3
"Jayson","Werth","National","LA","OF",102,337,79,0.2344213649851632,46,22,2,7,43,48,114,0.711,0.37388724035608306,0.338,11,2
"Rondell","White","American","DET","OF",97,374,117,0.31283422459893045,49,24,3,12,53,17,48,0.837,0.4893048128342246,0.348,1,0
"Brad","Wilkerson","National","WAS","OF",148,565,140,0.24778761061946902,76,42,7,11,57,84,147,0.756,0.40530973451327434,0.351,8,10
"Bernie","Williams","American","NY","OF",141,485,121,0.24948453608247423,53,19,1,12,64,53,75,0.688,0.3670103092783505,0.321,1,2
"Jack","Wilson","National","PIT","SS",158,587,151,0.2572402044293015,60,24,7,8,52,31,58,0.662,0.3628620102214651,0.299,7,3
"Preston","Wilson","National","COL","OF",139,520,135,0.25961538461538464,73,29,2,25,90,45,148,0,0.4673076923076923,0.3185840707964602,6,6
"Randy","Winn","American","SEA","OF",160,617,189,0.3063209076175041,85,47,6,20,63,48,91,0,0.4991896272285251,0.35639097744360904,19,11
"Tony","Womack","American","NY","OF",108,329,82,0.24924012158054712,46,8,1,0,15,12,49,0.556,0.2796352583586626,0.276,27,5
"David","Wright","National","NY","3B",160,575,176,0.3060869565217391,99,42,1,27,102,72,113,0.912,0.5234782608695652,0.388,17,7
"Dmitri","Young","American","DET","1B",126,469,127,0.27078891257995735,61,25,3,21,72,29,100,0.796,0.47121535181236673,0.325,1,0
"Michael","Young","American","TEX","SS",159,668,221,0.33083832335329344,114,40,5,24,91,58,91,0.899,0.5134730538922155,0.385,5,2
"Gregg","Zaun","American","TOR","C",133,434,109,0.2511520737327189,61,18,1,11,61,73,70,0.729,0.37327188940092165,0.355,2,3
