"","m.impr_post","m.impr_pre","m.click_post","m.click_pre","m.cost_post","m.cost_pre","m.conv_post","m.conv_pre","m.value_post","m.value_pre","m.cpm_pre","m.cpm_post","m.cpc_pre","m.cpc_post","m.cpa_pre","m.cpa_post","m.cpr_pre","m.cpr_post","mult.change","d.impr_post","d.impr_pre","d.click_post","d.click_pre","d.cost_post","d.cost_pre","d.conv_post","d.conv_pre","d.value_post","d.value_pre","d.cpm_pre","d.cpm_post","d.cpc_pre","d.cpc_post","d.cpa_pre","d.cpa_post","d.cpr_pre","d.cpr_post","error.cpr_pre","error.cpr_post"
"164",3192,3036,36,31,95.59,66.77,1,4,0,35,0.021992754,0.029946742,2.153870968,2.655277778,16.6925,95.59,1.907714286,0,-0.56,5236,6456,33,26,46.63,38.2,7,1,121,0,0.005916976,0.008905653,1.469230769,1.413030303,38.2,6.661428571,0,0.385371901,1.907714286,0.385371901
"165",9785,4855,80,57,277.69,169.36,6,9,116.24,169.12,0.034883625,0.028379152,2.97122807,3.471125,18.81777778,46.28166667,1.001419111,2.388936683,0.28,16502,13631,102,114,416.34,528.65,19,20,391.78,438.88,0.038782921,0.025229669,4.637280702,4.081764706,26.4325,21.91263158,1.204543383,1.062688243,0.203124272,1.326248439
"166",1438,1111,11,8,56.05,31.12,2,4,35,66.12,0.028010801,0.038977747,3.89,5.095454545,7.78,28.025,0.470659407,1.601428571,0.2,10323,7867,75,56,337.6,258.58,13,17,225.12,322.36,0.032868946,0.032703671,4.6175,4.501333333,15.21058824,25.96923077,0.802146668,1.499644634,0.331487261,0.101783937
"167",365,573,4,7,11.91,17.01,0,5,0,50.4,0.029685864,0.032630137,2.43,2.9775,3.402,0,0.3375,0,0.18,2886,2964,7,6,33.5,18.18,3,0,118.37,0,0.006133603,0.011607762,3.03,4.785714286,0,11.16666667,0,0.283010898,0.3375,0.283010898
"168",453,331,3,3,33.42,18.66,0,4,0,82.8,0.056374622,0.073774834,6.22,11.14,4.665,0,0.225362319,0,0,893,846,2,1,10.51,6.22,0,0,0,0,0.007352246,0.011769317,6.22,5.255,0,0,0,0,0.225362319,0
"169",9841,5211,62,33,596.51,429.12,5,11,116.8,201.77,0.082348877,0.060614775,13.00363636,9.621129032,39.01090909,119.302,2.126778015,5.107106164,-0.93,26439,15111,35,21,209.23,126.27,15,21,253.31,316.8,0.008356164,0.007913688,6.012857143,5.978,6.012857143,13.94866667,0.398579545,0.825983972,1.728198469,4.281122192
"170",2645,2246,57,47,56.85,37.22,7,5,57.72,43.08,0.016571683,0.021493384,0.791914894,0.997368421,7.444,8.121428571,0.863974002,0.984927235,0.33,3712,4569,27,41,16.22,27.64,3,5,22.25,47.25,0.006049464,0.004369612,0.674146341,0.600740741,5.528,5.406666667,0.584973545,0.728988764,0.279000457,0.255938471
"171",236,202,17,17,37.39,21.13,7,7,91.58,57,0.10460396,0.158432203,1.242941176,2.199411765,3.018571429,5.341428571,0.370701754,0.408276916,0.75,259,251,5,8,7.39,12.74,0,0,0,0,0.050756972,0.028532819,1.5925,1.478,0,0,0,0,0.370701754,0.408276916
"172",127,251,1,14,2.09,23.52,0,4,0,55.58,0.093705179,0.016456693,1.68,2.09,5.88,0,0.423173804,0,-0.21,639,895,4,14,5.9,13.71,0,4,0,12.5,0.015318436,0.009233177,0.979285714,1.475,3.4275,0,1.0968,0,0.673626196,0
"173",75,176,2,3,4.56,12.52,1,3,0,26.25,0.071136364,0.0608,4.173333333,2.28,4.173333333,4.56,0.476952381,0,0.73,302,336,7,3,22.51,9.31,1,0,0,0,0.027708333,0.074536424,3.103333333,3.215714286,0,22.51,0,0,0.476952381,0
"174",901,245,16,7,98.03,48.07,4,5,47.25,77.83,0.196204082,0.108801332,6.867142857,6.126875,9.614,24.5075,0.617628164,2.074708995,0.05,1988,469,8,3,40.27,12.17,0,0,0,0,0.025948827,0.020256539,4.056666667,5.03375,0,0,0,0,0.617628164,2.074708995
"175",1023,360,14,4,50.5,10.06,0,4,0,64.08,0.027944444,0.049364614,2.515,3.607142857,2.515,0,0.156991261,0,0.6,1791,1638,10,16,22.45,35.49,0,4,0,38.75,0.021666667,0.012534897,2.218125,2.245,8.8725,0,0.915870968,0,0.758879707,0
"176",890,849,8,8,34.58,27.73,2,4,0,22.25,0.032661955,0.038853933,3.46625,4.3225,6.9325,17.29,1.246292135,0,0.24,2656,3258,6,6,21.5,14.94,2,0,34.75,0,0.004585635,0.00809488,2.49,3.583333333,0,10.75,0,0.618705036,1.246292135,0.618705036
"177",457,265,16,12,72.75,38.48,8,4,61,26.25,0.145207547,0.159190372,3.206666667,4.546875,9.62,9.09375,1.465904762,1.192622951,0.34,799,832,4,3,10.51,7.24,0,2,0,22.25,0.008701923,0.013153942,2.413333333,2.6275,3.62,0,0.325393258,0,1.140511503,1.192622951
"178",461,498,18,8,114.79,37.48,8,6,44.5,79.25,0.075261044,0.249002169,4.685,6.377222222,6.246666667,14.34875,0.472933754,2.579550562,0.49,976,1398,4,4,11.5,14.9,2,0,43.08,0,0.010658083,0.011782787,3.725,2.875,0,5.75,0,0.266945218,0.472933754,2.312605344
"179",258,184,9,7,30.54,8.52,2,3,12.5,22.25,0.046304348,0.118372093,1.217142857,3.393333333,2.84,15.27,0.382921348,2.4432,0.19,701,625,13,18,24.5,45.03,3,3,43.08,43.08,0.072048,0.034950071,2.501666667,1.884615385,15.01,8.166666667,1.045264624,0.568709378,0.662343276,1.874490622
"180",1354,104,17,8,121.12,24.32,8,6,44.5,69.5,0.233846154,0.089453471,3.04,7.124705882,4.053333333,15.14,0.349928058,2.721797753,0.67,1724,6186,9,13,33.51,58.2,6,0,69.33,0,0.009408341,0.019437355,4.476923077,3.723333333,0,5.585,0,0.483340545,0.349928058,2.238457208
"181",191,146,4,4,37.5,34.32,1,3,0,35.47,0.235068493,0.196335079,8.58,9.375,11.44,37.5,0.967578235,0,0.32,772,585,4,2,15.52,8.6,2,1,22.25,22.25,0.014700855,0.020103627,4.3,3.88,8.6,7.76,0.386516854,0.69752809,0.581061381,0.69752809
"182",517,1910,2,26,10.23,164.49,2,3,22.25,0,0.086120419,0.019787234,6.326538462,5.115,54.83,5.115,0,0.459775281,-0.4,820,1290,1,6,4.13,18.89,0,2,0,12.5,0.014643411,0.005036585,3.148333333,4.13,9.445,0,1.5112,0,1.5112,0.459775281
"183",18,249,0,9,0,61.47,0,3,0,34.75,0.24686747,0,6.83,0,20.49,0,1.768920863,0,-0.63,592,634,4,5,16.82,20.35,6,4,57,34.75,0.032097792,0.028412162,4.07,4.205,5.0875,2.803333333,0.585611511,0.295087719,1.183309353,0.295087719
"184",1170,1305,12,16,28.72,30,0,3,0,60,0.022988506,0.024547009,1.875,2.393333333,10,0,0.5,0,-0.05,4447,6302,16,21,58.97,98.64,2,3,60,60,0.015652174,0.013260625,4.697142857,3.685625,32.88,29.485,1.644,0.982833333,1.144,0.982833333
"185",581,3473,18,130,49.8,616.44,2,12,60,240,0.177494961,0.085714286,4.741846154,2.766666667,51.37,24.9,2.5685,0.83,-0.43,5033,6899,38,55,148.25,258.51,5,13,120,360,0.037470648,0.029455593,4.700181818,3.901315789,19.88538462,29.65,0.718083333,1.235416667,1.850416667,0.405416667
"186",1048,1251,19,27,30.07,51.62,0,4,0,60,0.04126299,0.028692748,1.911851852,1.582631579,12.905,0,0.860333333,0,-0.04,1487,1991,33,57,87.43,145.76,4,11,120,300,0.073209442,0.058796234,2.557192982,2.649393939,13.25090909,21.8575,0.485866667,0.728583333,0.374466667,0.728583333
"187",902,607,43,27,105.39,61.87,3,11,60,300,0.101927512,0.116840355,2.291481481,2.450930233,5.624545455,35.13,0.206233333,1.7565,-0.1,233,221,4,4,7.48,6.93,0,0,0,0,0.031357466,0.032103004,1.7325,1.87,0,0,0,0,0.206233333,1.7565
"188",1232,1882,13,37,17.85,55.6,0,8,0,180,0.029543039,0.014488636,1.502702703,1.373076923,6.95,0,0.308888889,0,0.03,8920,15368,54,103,130.82,276.65,9,7,240,120,0.018001692,0.014665919,2.68592233,2.422592593,39.52142857,14.53555556,2.305416667,0.545083333,1.996527778,0.545083333
"189",6235,2409,81,28,199.2,74.55,10,6,180,180,0.030946451,0.031948677,2.6625,2.459259259,12.425,19.92,0.414166667,1.106666667,0,11517,10860,28,25,61.89,50.34,7,6,120,180,0.004635359,0.005373795,2.0136,2.210357143,8.39,8.841428571,0.279666667,0.51575,0.1345,0.590916667
"190",15710,13276,219,161,374.43,269.5,15,11,300,300,0.020299789,0.023833864,1.673913043,1.709726027,24.5,24.962,0.898333333,1.2481,0.07,12414,11559,29,36,39.5,52.17,6,6,60,120,0.004513366,0.003181891,1.449166667,1.362068966,8.695,6.583333333,0.43475,0.658333333,0.463583333,0.589766667
"191",2052,7869,21,89,53.46,360.88,5,15,60,420,0.045860973,0.026052632,4.054831461,2.545714286,24.05866667,10.692,0.859238095,0.891,0.07,754,7375,8,23,17.29,68.84,1,4,0,120,0.009334237,0.022931034,2.993043478,2.16125,17.21,17.29,0.573666667,0,0.285571429,0.891
"192",991,2149,24,38,29.49,59.35,5,6,60,180,0.027617497,0.02975782,1.561842105,1.22875,9.891666667,5.898,0.329722222,0.4915,0.15,67789,71231,171,189,329.38,363.9,27,19,660,480,0.005108731,0.0048589,1.925396825,1.92619883,19.15263158,12.19925926,0.758125,0.499060606,0.428402778,0.007560606
"193",169,3096,2,56,2.21,121.59,0,4,0,60,0.039273256,0.013076923,2.17125,1.105,30.3975,0,2.0265,0,-0.03,2175,2358,6,6,8.27,9.56,0,2,0,60,0.004054283,0.003802299,1.593333333,1.378333333,4.78,0,0.159333333,0,1.867166667,0
"194",619,762,11,27,19.08,52.09,4,1,60,0,0.06835958,0.03082391,1.929259259,1.734545455,52.09,4.77,0,0.318,0.15,6918,9761,51,65,141.95,165.12,9,11,180,240,0.0169163,0.020518936,2.540307692,2.783333333,15.01090909,15.77222222,0.688,0.788611111,0.688,0.470611111
"195",5061,4021,117,95,268.98,202,14,18,420,420,0.05023626,0.053147599,2.126315789,2.298974359,11.22222222,19.21285714,0.480952381,0.640428571,0.3,7756,7394,40,40,102.71,102.75,5,2,120,60,0.013896402,0.013242651,2.56875,2.56775,51.375,20.542,1.7125,0.855916667,1.231547619,0.215488095
"196",3458,2666,117,72,372.57,197.36,31,14,600,360,0.074028507,0.107741469,2.741111111,3.184358974,14.09714286,12.0183871,0.548222222,0.62095,0.2,5459,7416,301,351,783.35,1024.36,86,93,2040,2280,0.138128371,0.143496977,2.918404558,2.602491694,11.01462366,9.10872093,0.449280702,0.383995098,0.09894152,0.236954902
"197",70,1141,4,30,8.94,83.25,0,9,0,180,0.072962314,0.127714286,2.775,2.235,9.25,0,0.4625,0,0.1,1,39,0,3,0,9.63,0,0,0,0,0.246923077,0,3.21,0,0,0,0,0,0.4625,0
"198",1118,2883,8,32,39.81,196.68,0,8,0,240,0.068220604,0.035608229,6.14625,4.97625,24.585,0,0.8195,0,-0.08,7226,12579,18,21,90.28,104.88,3,7,60,180,0.008337706,0.012493772,4.994285714,5.015555556,14.98285714,30.09333333,0.582666667,1.504666667,0.236833333,1.504666667
"199",3074,2710,89,64,348.81,250.06,23,19,399.83,251.75,0.092273063,0.113471047,3.9071875,3.919213483,13.16105263,15.16565217,0.993286991,0.872395768,0,5439,5469,113,118,264.69,287.2,20,24,571.2,539.82,0.052514171,0.048665196,2.433898305,2.342389381,11.96666667,13.2345,0.532029195,0.463392857,0.461257796,0.409002911
"200",70,2870,0,16,0,35.52,0,4,0,49.69,0.012376307,0,2.22,0,8.88,0,0.714831958,0,-0.2,19610,21556,47,58,144.47,174.35,19,20,548.36,780.68,0.008088235,0.00736716,3.006034483,3.073829787,8.7175,7.603684211,0.223330942,0.263458312,0.491501016,0.263458312
"201",1337,696,43,29,140.6,50.78,13,9,466,218.24,0.07295977,0.105160808,1.751034483,3.269767442,5.642222222,10.81538462,0.232679619,0.301716738,1.09,1546,2013,42,53,115.95,143.71,3,20,16,304.1,0.071390959,0.075,2.711509434,2.760714286,7.1855,38.65,0.472574811,7.246875,0.239895192,6.945158262
"202",4212,5369,56,123,207.93,540.11,13,26,325.34,605.4,0.100597877,0.049366097,4.391138211,3.713035714,20.77346154,15.99461538,0.892153948,0.639116002,-0.98,6568,6195,94,82,395.62,272.07,18,35,650.17,945.33,0.043917676,0.06023447,3.317926829,4.208723404,7.773428571,21.97888889,0.287804259,0.608487011,0.604349689,0.030628991
"203",343,239,22,5,48.17,6.02,3,4,0,27.8,0.025188285,0.140437318,1.204,2.189545455,1.505,16.05666667,0.216546763,0,0.74,231,282,5,2,8.74,3.17,0,0,0,0,0.011241135,0.037835498,1.585,1.748,0,0,0,0,0.216546763,0
"204",365,2398,4,34,9.1,63.7,2,4,52.73,14.15,0.026563803,0.024931507,1.873529412,2.275,15.925,4.55,4.501766784,0.17257728,-0.67,5339,6618,38,45,77.19,92.96,0,6,0,34.38,0.01404654,0.014457764,2.065777778,2.031315789,15.49333333,0,2.703897615,0,1.79786917,0.17257728
"205",582,2247,5,30,6.57,53.55,0,2,0,16.88,0.023831776,0.01128866,1.785,1.314,26.775,0,3.172393365,0,-0.72,941,1285,10,8,13.79,13.36,4,4,0,53.03,0.010396887,0.014654623,1.67,1.379,3.34,3.4475,0.251932868,0,2.920460497,0
"206",7112,2910,82,27,143.41,59.15,1,2,0,62.36,0.02032646,0.020164511,2.190740741,1.748902439,29.575,143.41,0.948524695,0,-0.1,4088,4413,15,15,23.98,22.14,2,0,35.27,0,0.005016995,0.005865949,1.476,1.598666667,0,11.99,0,0.67989793,0.948524695,0.67989793
"207",246,211,3,4,10.17,17.55,0,3,0,67.52,0.083175355,0.041341463,4.3875,3.39,5.85,0,0.259922986,0,0.13,2822,2544,54,30,161.45,106.07,9,5,227.46,99.15,0.041694182,0.057211198,3.535666667,2.989814815,21.214,17.93888889,1.069793243,0.709795129,0.809870257,0.709795129
"208",7,3510,0,51,0,137.05,0,4,0,52,0.039045584,0,2.687254902,0,34.2625,0,2.635576923,0,-0.09,11592,13563,117,176,354.83,566.51,6,10,114.06,164,0.041768783,0.030609903,3.218806818,3.032735043,56.651,59.13833333,3.454329268,3.11090654,0.818752345,3.11090654
"209",432,680,2,8,2.36,11.6,0,3,0,30,0.017058824,0.005462963,1.45,1.18,3.866666667,0,0.386666667,0,0.15,4567,4892,47,45,119.34,116.47,7,10,60,150,0.023808258,0.026130939,2.588222222,2.539148936,11.647,17.04857143,0.776466667,1.989,0.3898,1.989
"210",432,201,15,4,60.31,25.68,2,3,129.25,74.3,0.127761194,0.139606481,6.42,4.020666667,8.56,30.155,0.345625841,0.466615087,0.91,1608,1564,46,38,328.78,251.71,6,5,224.87,222.15,0.160939898,0.204465174,6.623947368,7.147391304,50.342,54.79666667,1.133063246,1.462089207,0.787437404,0.99547412
"211",4021,1294,44,7,183.75,39.77,2,3,138.25,138.25,0.030734158,0.045697588,5.681428571,4.176136364,13.25666667,91.875,0.287667269,1.329113924,-0.05,114224,34146,81,66,212.9,170.21,5,2,97.55,129.6,0.004984771,0.001863881,2.578939394,2.628395062,85.105,42.58,1.313348765,2.182470528,1.025681496,0.853356604
"212",421,208,4,2,24.49,9.3,2,4,39.82,129.25,0.044711538,0.058171021,4.65,6.1225,2.325,12.245,0.071953578,0.615017579,0.99,2245,2109,94,76,280.5,275.62,10,7,467.48,406.1,0.13068753,0.124944321,3.626578947,2.984042553,39.37428571,28.05,0.678699828,0.60002567,0.606746249,0.01499191
"213",275,4650,3,65,13.95,278.92,0,4,0,120.95,0.059982796,0.050727273,4.291076923,4.65,69.73,0,2.306076891,0,-0.68,50652,48261,432,400,1611.09,1457.7,49,65,1825.42,2174.32,0.030204513,0.031807036,3.64425,3.729375,22.42615385,32.87938776,0.670416498,0.882585925,1.635660393,0.882585925
"214",531,2844,4,34,3.04,100.61,0,6,0,150.42,0.035376231,0.005725047,2.959117647,0.76,16.76833333,0,0.668860524,0,0,54638,53850,184,177,449.49,572.88,21,13,476.74,335.32,0.01063844,0.008226692,3.236610169,2.442880435,44.06769231,21.40428571,1.708457593,0.942840962,1.039597069,0.942840962
"215",297,3187,6,38,40.23,203.56,0,5,0,74.3,0.06387198,0.135454545,5.356842105,6.705,40.712,0,2.739703903,0,-0.78,27219,26680,407,352,2266.67,1893.06,78,74,3081.32,2059.25,0.070954273,0.083275286,5.378011364,5.569213759,25.58189189,29.05987179,0.91929586,0.735616554,1.820408043,0.735616554
"216",3919,2712,66,44,321.58,264.2,20,20,195.25,512.84,0.097418879,0.082056647,6.004545455,4.872424242,13.21,16.079,0.515170424,1.647016645,0.22,23695,23414,206,198,1279.96,1287.4,51,46,1350.33,1868.96,0.054984197,0.054018147,6.502020202,6.213398058,27.98695652,25.0972549,0.688832292,0.947886813,0.173661868,0.699129832
"217",103,1665,1,62,2.43,190.06,0,7,0,46.3,0.11415015,0.023592233,3.065483871,2.43,27.15142857,0,4.104967603,0,-0.44,4438,6250,56,77,176.74,242.76,1,13,0,511.06,0.0388416,0.039824245,3.152727273,3.156071429,18.67384615,176.74,0.475012719,0,3.629954884,0
"218",4863,4458,96,89,269.25,281,1,8,95.12,240.2,0.06303275,0.055367057,3.157303371,2.8046875,35.125,269.25,1.169858451,2.830634987,-0.15,8403,9650,171,199,311.63,418.17,7,5,73.95,218.96,0.043333679,0.037085565,2.101356784,1.822397661,83.634,44.51857143,1.909800877,4.214063556,0.739942426,1.383428569
"219",472,306,20,11,51.07,32.42,1,4,0,74.3,0.105947712,0.108199153,2.947272727,2.5535,8.105,51.07,0.436339166,0,0.26,1187,1443,43,41,194.76,185.61,12,6,251.67,176.25,0.128627859,0.164077506,4.527073171,4.529302326,30.935,16.23,1.053106383,0.773870545,0.616767217,0.773870545
"220",55,85,2,5,5.12,4.97,0,3,0,0,0.058470588,0.093090909,0.994,2.56,1.656666667,0,0,0,0,605,554,20,38,92.74,144.39,9,13,378.45,758.66,0.260631769,0.153289256,3.799736842,4.637,11.10692308,10.30444444,0.190322411,0.245052187,0.190322411,0.245052187
"221",820,13858,12,150,15.22,384.66,4,4,122.77,158.72,0.027757252,0.018560976,2.5644,1.268333333,96.165,3.805,2.423513105,0.123971654,-0.47,633190,519708,1187,1093,2586.71,1910.71,131,98,3601.8,2804.93,0.003676507,0.004085203,1.748133577,2.179199663,19.49704082,19.74587786,0.681197035,0.71817147,1.74231607,0.594199816
"222",1799,3048,22,53,146.44,595.52,4,13,217.54,566.67,0.195380577,0.081400778,11.23622642,6.656363636,45.80923077,36.61,1.050911465,0.673163556,-0.95,9928,11929,133,151,1622.26,1790.8,42,80,1826.79,3396.26,0.150121553,0.163402498,11.85960265,12.19744361,22.385,38.6252381,0.527285897,0.888038581,0.523625568,0.214875025
"223",1919,1894,105,91,715.21,715.85,33,26,800.42,743.23,0.377956705,0.372699323,7.866483516,6.81152381,27.53269231,21.6730303,0.963160798,0.89354339,0,7346,7185,345,280,3492.46,2909.39,184,119,6598.22,5695.72,0.404925539,0.47542336,10.39067857,10.12307246,24.44865546,18.98076087,0.510802848,0.529303358,0.45235795,0.364240032
"224",629,2815,10,40,14.05,134.22,1,6,0,68.9,0.047680284,0.022337043,3.3555,1.405,22.37,14.05,1.948040639,0,-0.23,112533,70259,1064,608,4653.07,2174.73,162,91,6074.68,2801.58,0.030953045,0.041348493,3.576858553,4.37318609,23.89813187,28.72265432,0.776251258,0.765977796,1.17178938,0.765977796
"225",582,3369,8,61,18.7,203.65,0,4,0,46.3,0.060448204,0.032130584,3.33852459,2.3375,50.9125,0,4.398488121,0,-1.47,266,690,5,18,9.72,47.99,1,0,0,0,0.069550725,0.036541353,2.666111111,1.944,0,9.72,0,0,4.398488121,0
"226",275,968,7,29,21.59,94.31,0,2,0,46.65,0.097427686,0.078509091,3.252068966,3.084285714,47.155,0,2.021650589,0,-0.88,2221,6580,96,83,325.28,270.74,28,25,1024.64,810.98,0.041145897,0.146456551,3.261927711,3.388333333,10.8296,11.61714286,0.333843005,0.317457839,1.687807585,0.317457839
"227",576,768,16,35,17.98,58.15,2,6,0,46.3,0.075716146,0.031215278,1.661428571,1.12375,9.691666667,8.99,1.255939525,0,-0.31,21195,13382,467,390,950.93,649.11,47,21,1082.23,637.24,0.048506202,0.04486577,1.664384615,2.036252677,30.91,20.23255319,1.018627205,0.878676437,0.23731232,0.878676437
"228",646,576,17,26,215.07,227.61,9,8,163.85,361.63,0.39515625,0.332925697,8.754230769,12.65117647,28.45125,23.89666667,0.629400216,1.312602991,0.15,2221,2503,63,60,765.97,664.82,41,33,1807.19,1609.06,0.265609269,0.344876182,11.08033333,12.15825397,20.14606061,18.68219512,0.413172908,0.42384586,0.216227307,0.88875713
"229",87,173,1,8,10.68,101.18,0,6,0,101.95,0.584855491,0.122758621,12.6475,10.68,16.86333333,0,0.992447278,0,-0.58,312,356,13,22,155.63,291.57,13,9,335.47,603.33,0.819016854,0.498814103,13.25318182,11.97153846,32.39666667,11.97153846,0.483267863,0.463916297,0.509179415,0.463916297
"230",12949,5141,110,71,445.55,253.12,9,9,393.08,478.21,0.049235557,0.034408062,3.565070423,4.050454545,28.12444444,49.50555556,0.529307208,1.133484278,0.19,162895,67555,824,589,2754.68,1721.84,148,86,4522.24,2805.52,0.025487973,0.016910771,2.923327674,3.343058252,20.02139535,18.6127027,0.613732927,0.609140603,0.084425718,0.524343675
"231",833,2448,13,47,81.56,376.79,3,6,19,141.77,0.153917484,0.097911164,8.016808511,6.273846154,62.79833333,27.18666667,2.65775552,4.292631579,-1.28,18837,20184,236,255,872.78,902.88,46,29,1344.36,1169.61,0.044732461,0.04633328,3.540705882,3.698220339,31.1337931,18.97347826,0.771949624,0.649215984,1.885805895,3.643415595
"232",6133,2673,120,88,327.03,186.01,6,7,148.6,0,0.069588477,0.053323007,2.11375,2.72525,26.57285714,54.505,0,2.200740242,0.15,12911,27594,149,277,459.88,737.51,19,40,656.91,1130.8,0.026727187,0.035619239,2.662490975,3.086442953,18.43775,24.20421053,0.652201981,0.700065458,0.652201981,1.500674784
"233",6143,3021,108,106,446.14,331.81,8,15,169.42,663.15,0.109834492,0.072625753,3.130283019,4.130925926,22.12066667,55.7675,0.500354369,2.633337268,0,2232,5190,123,181,517.84,722.75,20,39,609.01,1108.53,0.139258189,0.232007168,3.993093923,4.210081301,18.53205128,25.892,0.651989572,0.850298025,0.151635202,1.783039244
"234",1017,2912,48,86,120.25,324.13,2,11,122.42,163.2,0.111308379,0.118239921,3.768953488,2.505208333,29.46636364,60.125,1.986090686,0.982274138,-0.87,1623,1782,81,102,286.66,389.29,23,22,841.53,731.31,0.21845679,0.176623537,3.816568627,3.539012346,17.695,12.46347826,0.532318716,0.340641451,1.453771971,0.641632688
"235",875,364,55,18,182.83,38.23,5,10,0,432.65,0.105027473,0.208948571,2.123888889,3.324181818,3.823,36.566,0.088362418,0,1.07,1643,1492,132,131,295.73,265.47,1,9,0,157.75,0.177928954,0.179993914,2.02648855,2.240378788,29.49666667,295.73,1.682852615,0,1.594490197,0
"236",174,175,2,7,10.21,21.09,5,4,97.76,9.5,0.120514286,0.058678161,3.012857143,5.105,5.2725,2.042,2.22,0.104439444,0.04,567,569,7,7,14.46,31.21,3,7,9.5,48,0.054850615,0.025502646,4.458571429,2.065714286,4.458571429,4.82,0.650208333,1.522105263,1.569791667,1.41766582
"237",727,553,113,101,189.49,116.77,19,23,139.38,252.51,0.211157324,0.260646492,1.156138614,1.676902655,5.076956522,9.973157895,0.462437131,1.359520735,0,1050,985,145,138,209.85,203.84,53,60,402.88,528.98,0.206944162,0.199857143,1.477101449,1.447241379,3.397333333,3.959433962,0.385345382,0.520874702,0.07709175,0.838646033
"238",3776,2904,45,31,86.37,58.54,6,9,115.64,75.5,0.020158402,0.022873411,1.888387097,1.919333333,6.504444444,14.395,0.775364238,0.74688689,0.33,4845,4841,58,64,73.99,96.9,3,15,37.26,105.34,0.020016526,0.015271414,1.5140625,1.275689655,6.46,24.66333333,0.919878489,1.985775631,0.14451425,1.23888874
"239",15,131,0,5,0,24.31,0,3,0,9.5,0.185572519,0,4.862,0,8.103333333,0,2.558947368,0,-1.21,277,352,1,3,4.9,10.02,0,5,0,19,0.028465909,0.017689531,3.34,4.9,2.004,0,0.527368421,0,2.031578947,0
"240",401,432,28,25,64.22,40.96,8,11,94.5,122.08,0.094814815,0.160149626,1.6384,2.293571429,3.723636364,8.0275,0.335517693,0.67957672,0,155,162,10,5,14.14,10.6,6,0,23.5,0,0.065432099,0.091225806,2.12,1.414,0,2.356666667,0,0.601702128,0.335517693,0.077874592
"241",202,254,13,14,35.4,41.55,2,4,9.5,40.88,0.163582677,0.175247525,2.967857143,2.723076923,10.3875,17.7,1.016389432,3.726315789,-0.29,1350,1690,60,59,172.4,138.62,39,44,184.5,281.92,0.082023669,0.127703704,2.349491525,2.873333333,3.150454545,4.420512821,0.491699773,0.934417344,0.52468966,2.791898445
"242",4,310,0,7,0,22.12,0,3,0,9.5,0.071354839,0,3.16,0,7.373333333,0,2.328421053,0,-0.19,2081,2401,3,8,18.6,28.81,2,2,29,9.5,0.011999167,0.008938011,3.60125,6.2,14.405,9.3,3.032631579,0.64137931,0.704210526,0.64137931
"243",51,488,0,29,0,54.85,0,6,0,58,0.112397541,0,1.89137931,0,9.141666667,0,0.945689655,0,-0.85,1509,1168,24,15,34.4,19.72,7,4,82.26,58,0.016883562,0.022796554,1.314666667,1.433333333,4.93,4.914285714,0.34,0.418186239,0.605689655,0.418186239
"244",173,1603,2,19,1.34,58.7,4,3,29,9.5,0.03661884,0.007745665,3.089473684,0.67,19.56666667,0.335,6.178947368,0.046206897,-0.38,12069,9140,113,59,368.98,179.32,33,25,268.26,125,0.019619256,0.030572541,3.039322034,3.265309735,7.1728,11.18121212,1.43456,1.375456647,4.744387368,1.32924975
"245",6,247,0,17,0,14.16,0,6,0,9.5,0.057327935,0,0.832941176,0,2.36,0,1.490526316,0,-0.58,1330,1595,3,4,1.09,1.47,0,0,0,0,0.00092163,0.000819549,0.3675,0.363333333,0,0,0,0,1.490526316,0
"246",4436,4758,54,58,97.48,97.19,3,0,142.94,0,0.02042665,0.021974752,1.675689655,1.805185185,0,32.49333333,0,0.681964461,-0.15,25653,29294,160,161,221.22,224.84,10,15,173.97,210.94,0.007675292,0.008623553,1.396521739,1.382625,14.98933333,22.122,1.065895515,1.271598551,1.065895515,0.589634091
"247",5656,3764,70,55,173.42,175.7,3,8,142.97,141.94,0.046679065,0.030661245,3.194545455,2.477428571,21.9625,57.80666667,1.237846978,1.212981744,-0.8,48358,25301,169,147,410.28,337.44,24,23,773.75,1544.4,0.013337022,0.008484222,2.295510204,2.427692308,14.67130435,17.095,0.218492618,0.530248788,1.019354359,0.682732956
"248",1924,1051,25,19,73.56,46.68,1,3,0,100.22,0.044414843,0.038232848,2.456842105,2.9424,15.56,73.56,0.465775294,0,0.05,8692,8928,91,77,307.61,258.12,21,6,561.85,261.82,0.02891129,0.035390014,3.352207792,3.38032967,43.02,14.64809524,0.985868154,0.547494883,0.520092859,0.547494883
"249",7281,1162,73,9,406.83,25.93,2,3,70.97,176.53,0.022314974,0.055875567,2.881111111,5.573013699,8.643333333,203.415,0.146887215,5.73242215,0.85,36471,8851,103,61,324.04,236.33,9,4,140.97,35,0.026700938,0.008884867,3.874262295,3.146019417,59.0825,36.00444444,6.752285714,2.298645102,6.6053985,3.433777048
"250",766,1539,18,22,30.06,34.87,0,3,0,0,0.02265757,0.03924282,1.585,1.67,11.62333333,0,0,0,0,20734,19888,184,193,398.28,430.99,7,14,308.54,448.72,0.021670857,0.019209029,2.233108808,2.164565217,30.785,56.89714286,0.960487609,1.290853698,0.960487609,1.290853698
