"ID","Region","Gender","Race","Education","Marital","Religion","Happy","Income","PolParty","Politics","Marijuana","DeathPenalty","OwnGun","GunLaw","SpendMilitary","SpendEduc","SpendEnv","SpendSci","Pres00","Postlife"
514,"Mid-Atl","Female","Black","Left HS","Married","Catholic","Pretty happy","under 1000","Ind, Near Rep","Liberal",NA,"Favor","No","Favor","About right","Too little","Too little","Too little","Gore","Yes"
515,"Mid-Atl","Female","Black","Left HS","Never Married","Protestant",NA,NA,"Ind, Near Dem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
516,"Mid-Atl","Female","White","HS","Divorced","Protestant",NA,"12500-14999","Strong Dem",NA,NA,NA,NA,NA,"Too much","Too little","Too little","Too much",NA,NA
517,"Mid-Atl","Female","Black","HS","Never Married","Protestant","Not too happy","under 1000","Not Str Dem","Moderate","Legal","Oppose",NA,NA,"Too much","About right","Too little","About right",NA,"No"
518,"Mid-Atl","Female","Other","Bachelors","Married","Catholic",NA,"12500-14999","Ind, Near Rep",NA,NA,NA,NA,NA,"About right","Too little","Too little","About right",NA,NA
519,"Mid-Atl","Male","White","HS","Divorced","Moslem/Islam",NA,NA,"Not Str Dem",NA,NA,NA,NA,NA,"Too much","Too little","Too little","About right",NA,NA
520,"Mid-Atl","Male","White","Bachelors","Never Married","Catholic","Very happy","110000-129999","Ind","Slightly conservative",NA,"Oppose","No","Favor",NA,NA,NA,NA,"Bush",NA
521,"Mid-Atl","Female","White","Bachelors","Married","Protestant","Very happy","75000-89999","Ind","Moderate","Not legal","Oppose",NA,NA,"Too much","Too little","Too little","Too much",NA,"Yes"
522,"Mid-Atl","Male","White","Graduate","Married","Jewish","Very happy","12500-14999","Ind, Near Dem","Slightly conservative","Legal","Favor","No","Favor",NA,NA,NA,NA,"Gore",NA
523,"Mid-Atl","Male","White","Bachelors","Never Married","Catholic",NA,"90000-109999","Not Str Dem",NA,NA,NA,NA,NA,"About right","Too little","Too little","Too little","Other",NA
524,"Mid-Atl","Male","Black","Graduate","Married","Protestant",NA,"110000-129999","Strong Dem",NA,NA,NA,NA,NA,"About right","Too little","About right","About right","Gore",NA
525,"Mid-Atl","Female","White","Graduate","Married","Jewish",NA,"10000-124999","Ind",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
526,"Mid-Atl","Female","White","Bachelors","Never Married","Protestant","Not too happy","50000-59999","Strong Dem","Slightly liberal",NA,"Oppose","No","Favor","About right","Too little","Too little","Too little","Gore","Yes"
527,"Mid-Atl","Male","Black","Graduate","Married","Inter-nondenominational","Pretty happy","60000-74999","Ind",NA,"Not legal","Oppose",NA,NA,NA,NA,NA,NA,NA,"Yes"
528,"Mid-Atl","Female","White","HS","Married","Catholic",NA,"15000-17499","Not Str Dem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
529,"Mid-Atl","Male","White","HS","Married","Catholic","Very happy","50000-59999","Not Str Dem","Moderate","Legal","Favor","No","Favor","Too little","Too little","About right","Too much","Gore","Yes"
530,"Mid-Atl","Female","White","Graduate","Married","Catholic",NA,"40000-49999","Ind",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gore",NA
531,"Mid-Atl","Female","White","Jr Col","Married","Catholic",NA,"50000-59999","Strong Rep",NA,NA,NA,NA,NA,"Too little","Too much","About right","Too little","Bush",NA
532,"Mid-Atl","Male","White","HS","Married","Catholic","Pretty happy","40000-49999","Ind","Slightly conservative","Not legal","Favor","No","Favor",NA,NA,NA,NA,NA,NA
533,"Mid-Atl","Female","White","HS","Married","Catholic",NA,NA,"Ind",NA,NA,NA,NA,NA,"Too little","Too little","Too little","Too much","Gore",NA
534,"Mid-Atl","Male","White","HS","Never Married","Catholic",NA,"20000-22499","Strong Rep",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bush",NA
535,"Mid-Atl","Male","White","Jr Col","Married","Catholic","Very happy","90000-109999","Ind, Near Rep","Moderate",NA,"Favor","Yes","Favor",NA,NA,NA,NA,"Bush","Yes"
536,"Mid-Atl","Male","White","Jr Col","Married","Catholic","Very happy","75000-89999","Strong Rep","Conservative","Not legal","Favor",NA,NA,"About right","Too little","Too little","About right","Bush","Yes"
537,"Mid-Atl","Male","White","Jr Col","Married","Protestant","Very happy","110000-129999","Strong Rep","Conservative","Not legal","Favor","No","Favor",NA,NA,NA,NA,"Bush","Yes"
538,"Mid-Atl","Male","White","Bachelors","Married","Catholic",NA,"90000-109999","Not Str Rep",NA,NA,NA,NA,NA,"Too little","Too little","Too little","Too little","Bush",NA
539,"Mid-Atl","Female","Black","HS","Divorced","Christian","Not too happy",NA,"Strong Dem","Liberal","Not legal","Oppose","No","Favor","About right","Too little","Too little","About right","Gore","Yes"
540,"Mid-Atl","Female","Black","HS","Never Married","None",NA,"30000-34999","Not Str Dem",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gore",NA
541,"Mid-Atl","Female","White","Graduate","Divorced","Catholic",NA,"under 1000","Ind",NA,NA,NA,NA,NA,"Too much","Too little","Too little","Too much",NA,NA
542,"Mid-Atl","Female","White","HS","Married","Catholic",NA,"50000-59999","Not Str Dem",NA,NA,NA,NA,NA,"About right","Too little","Too little","Too little","Bush",NA
543,"Mid-Atl","Male","White","Jr Col","Married","Catholic",NA,"110000-129999","Not Str Rep",NA,NA,NA,NA,NA,"About right","About right","Too little","About right","Bush",NA
544,"Mid-Atl","Male","White","HS","Married","Catholic",NA,"50000-59999","Ind, Near Dem",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gore",NA
545,"Mid-Atl","Female","White","Jr Col","Married","None","Pretty happy","50000-59999","Ind","Liberal",NA,"Oppose","No","Oppose","About right","Too little","Too little","Too little","Didnt vote","Yes"
546,"Mid-Atl","Male","White","Graduate","Married","None","Pretty happy","110000-129999","Ind","Liberal","Legal","Favor","No","Favor","About right","Too little","About right","Too little","Bush","No"
547,"Mid-Atl","Female","White","HS","Widowed","Jewish",NA,NA,"Ind, Near Dem",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gore",NA
548,"Mid-Atl","Female","White","Jr Col","Married","Jewish",NA,NA,"Not Str Rep",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bush",NA
549,"Mid-Atl","Female","White","HS","Married","Catholic","Pretty happy","75000-89999","Ind","Conservative","Not legal","Favor",NA,NA,NA,NA,NA,NA,"Bush","Yes"
550,"Mid-Atl","Male","White","HS","Married","None","Pretty happy","40000-49999","Not Str Rep","Moderate","Legal","Favor","Yes","Favor","Too little","Too little","Too little","About right","Bush","No"
551,"Mid-Atl","Male","White","Graduate","Divorced","Jewish",NA,"110000-129999","Ind",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bush",NA
552,"Mid-Atl","Male","White","Graduate","Widowed","Jewish",NA,NA,"Ind, Near Dem",NA,NA,NA,NA,NA,"Too much","Too little","Too little","Too little","Gore",NA
553,"Mid-Atl","Female","White","HS","Married","Jewish","Very happy","35000-39999","Ind","Moderate","Not legal","Oppose",NA,NA,"Too much","Too little","Too little","Too little","Bush","No"
554,"Mid-Atl","Female","White","Bachelors","Never Married",NA,"Pretty happy","130000-149999",NA,NA,"Not legal",NA,"No",NA,NA,NA,NA,NA,NA,"Yes"
555,"Mid-Atl","Female","White","Bachelors","Widowed","Jewish",NA,"20000-22499","Not Str Dem",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gore",NA
556,"Mid-Atl","Male","Black","HS","Married","Protestant",NA,"35000-39999","Ind",NA,NA,NA,NA,NA,"About right","Too little","Too little","Too little","Bush",NA
557,"Mid-Atl","Female","White","HS","Divorced","Jewish","Pretty happy",NA,"Not Str Dem","Liberal","Legal","Oppose",NA,NA,"Too much","Too little","Too little","Too little","Gore",NA
558,"Mid-Atl","Male","White","Bachelors","Married","Catholic","Very happy","50000-59999","Not Str Rep","Slightly conservative","Not legal","Favor","No","Favor",NA,NA,NA,NA,"Bush","No"
559,"Mid-Atl","Male","White","HS","Married","Protestant",NA,NA,"Strong Rep",NA,NA,NA,NA,NA,"About right","Too little","About right","Too little","Bush",NA
560,"Mid-Atl","Female","White","HS","Never Married","Catholic",NA,NA,"Ind, Near Rep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
561,"Mid-Atl","Female","White","HS","Divorced","Protestant","Pretty happy",NA,"Ind","Conservative",NA,"Favor","No","Favor","Too little","Too little","About right",NA,NA,"Yes"
562,"Mid-Atl","Female","White","HS","Married","Catholic",NA,"15000-17499","Ind, Near Dem",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gore",NA
563,"Mid-Atl","Male","White","Bachelors","Married","Catholic",NA,NA,"Not Str Dem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
564,"Mid-Atl","Female","Black","HS","Married","Protestant","Very happy","8000-9999","Ind, Near Dem","Moderate","Not legal","Oppose",NA,NA,NA,NA,NA,NA,"Gore","No"
565,"Mid-Atl","Female","White","HS","Divorced","Catholic","Not too happy","25000-29999","Not Str Dem","Moderate","Not legal","Favor","No","Oppose","Too little","Too little","Too little","About right","Bush","No"
566,"Mid-Atl","Female","White","HS","Never Married","Catholic",NA,"22500-24999","Ind",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567,"Mid-Atl","Male","White","HS","Divorced","Catholic",NA,NA,"Ind",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568,"Mid-Atl","Female","White","HS","Never Married","Catholic","Not too happy",NA,"Ind","Extremely liberal",NA,"Oppose","No","Favor",NA,NA,NA,NA,NA,"Yes"
569,"Mid-Atl","Female","White","HS","Never Married","Christian","Pretty happy","30000-34999","Ind",NA,"Not legal","Oppose","No","Favor",NA,NA,NA,NA,NA,"No"
570,"Mid-Atl","Female","White","HS","Widowed","Christian",NA,NA,"Strong Dem",NA,NA,NA,NA,NA,"About right","About right","Too little","About right","Gore",NA
571,"Mid-Atl","Female","White","HS","Never Married","Catholic",NA,"130000-149999","Ind",NA,NA,NA,NA,NA,"Too much","About right","Too little","Too much",NA,NA
572,"Mid-Atl","Male","White","HS","Divorced","Catholic","Pretty happy","17500-19999","Ind","Slightly liberal",NA,"Favor","No","Favor",NA,NA,NA,NA,NA,"Yes"
573,"Mid-Atl","Male","White","HS","Never Married","Protestant","Very happy",NA,"Ind",NA,NA,"Oppose","No",NA,NA,NA,NA,NA,NA,"Yes"
574,"Mid-Atl","Male","White","HS","Divorced","None",NA,"10000-124999","Not Str Dem",NA,NA,NA,NA,NA,"Too much","About right","About right","Too much",NA,NA
575,"Mid-Atl","Male","White","Jr Col","Separated","Catholic",NA,"130000-149999","Strong Dem",NA,NA,NA,NA,NA,"Too much","Too little","Too little","Too much","Gore",NA
576,"Mid-Atl","Male","White","HS","Separated","Protestant",NA,"35000-39999","Not Str Rep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
577,"Mid-Atl","Female","White","Left HS","Married","Protestant","Pretty happy",NA,"Ind, Near Dem","Liberal","Not legal",NA,NA,NA,NA,NA,NA,NA,NA,"Yes"
578,"Mid-Atl","Male","White","Left HS","Never Married","None","Pretty happy","8000-9999","Ind",NA,"Not legal","Oppose","No","Favor","About right","About right",NA,NA,NA,"No"
579,"Mid-Atl","Male","White","Jr Col","Married","Catholic",NA,"30000-34999","Strong Rep",NA,NA,NA,NA,NA,"Too little","Too little","Too little","Too much",NA,NA
580,"Mid-Atl","Female","White","HS","Never Married","Protestant","Pretty happy","12500-14999","Not Str Dem","Liberal","Legal","Favor","No","Favor","Too much","Too little","Too little","Too little","Gore","Yes"
581,"Mid-Atl","Female","White","HS","Separated","Catholic",NA,"30000-34999","Not Str Rep",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gore",NA
582,"Mid-Atl","Male","White","HS","Divorced","Protestant",NA,NA,"Not Str Rep",NA,NA,NA,NA,NA,"Too much","About right","Too little","Too little","Bush",NA
583,"Mid-Atl","Female","White","HS","Never Married","Catholic","Not too happy",NA,"Ind","Slightly conservative",NA,"Favor","No","Favor",NA,NA,NA,NA,NA,"Yes"
584,"Mid-Atl","Male","White","HS","Divorced","Catholic",NA,"50000-59999","Strong Rep",NA,NA,NA,NA,NA,"About right","Too little","About right","Too little","Bush",NA
585,"Mid-Atl","Female","White","HS","Widowed","Catholic",NA,NA,"Not Str Dem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
586,"Mid-Atl","Female","Black","HS","Widowed","Buddhism",NA,NA,"Ind",NA,NA,NA,NA,NA,"Too much","Too little","About right","About right","Gore",NA
587,"Mid-Atl","Male","White","HS","Never Married","None","Pretty happy","17500-19999","Ind","Conservative",NA,"Oppose","No","Favor",NA,NA,NA,NA,NA,"Yes"
588,"Mid-Atl","Female","White","Jr Col","Married","Protestant","Pretty happy","30000-34999","Ind","Moderate","Not legal","Favor","No","Favor",NA,NA,NA,NA,NA,"Yes"
589,"Mid-Atl","Male","White","Left HS","Married","Catholic",NA,NA,"Strong Dem",NA,NA,NA,NA,NA,"Too much","Too little","Too little","Too little",NA,NA
590,"Mid-Atl","Male","White","Left HS","Married","Catholic","Very happy",NA,"Not Str Dem",NA,"Not legal","Favor",NA,NA,NA,NA,NA,NA,NA,NA
591,"Mid-Atl","Female","White","HS","Divorced","None","Pretty happy",NA,"Not Str Dem","Moderate","Legal","Favor","Yes","Oppose","About right","Too little","Too little","About right","Gore","No"
592,"Mid-Atl","Male","White","HS","Never Married","Catholic","Not too happy","15000-17499","Not Str Rep","Extremely liberal","Legal","Favor",NA,NA,NA,NA,NA,NA,NA,"Yes"
593,"Mid-Atl","Male","White","HS","Divorced","Catholic","Pretty happy",NA,"Ind, Near Dem","Moderate","Legal","Favor","Yes","Favor","About right","Too little",NA,"About right",NA,"Yes"
594,"Mid-Atl","Male","White","Left HS","Married","Catholic","Very happy","75000-89999","Strong Rep","Moderate","Not legal","Favor","Yes","Favor",NA,NA,NA,NA,"Bush",NA
595,"Mid-Atl","Female","Black","HS","Never Married","Protestant","Not too happy",NA,"Not Str Rep","Extremely conservative","Not legal","Oppose",NA,NA,NA,NA,NA,NA,NA,"Yes"
596,"Mid-Atl","Female","Black","Left HS","Never Married","Protestant",NA,"1000-2999","Ind",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
597,"Mid-Atl","Male","White","HS","Never Married","Catholic",NA,NA,"Ind, Near Rep",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bush",NA
598,"Mid-Atl","Female","Other","Left HS","Separated","Protestant",NA,NA,"Not Str Rep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
599,"South Central","Male","White","HS","Married","Protestant","Pretty happy","30000-34999","Not Str Dem","Moderate",NA,"Favor","Yes","Favor",NA,NA,NA,NA,"Bush","Yes"
600,"South Central","Female","White","HS","Married","Protestant","Pretty happy","8000-9999","Strong Rep","Conservative","Not legal","Favor",NA,NA,"Too little","Too much","Too much","About right","Bush","Yes"
601,"South Central","Male","White","Bachelors","Married","Protestant","Very happy","5000-5999","Not Str Rep","Conservative",NA,"Favor","Refused","Oppose",NA,NA,NA,NA,"Bush","Yes"
602,"South Central","Female","White","Bachelors","Married","Protestant","Very happy","25000-29999","Not Str Rep","Moderate",NA,"Favor",NA,NA,"About right","Too little",NA,"Too little","Bush","Yes"
603,"South Central","Female","Other","HS","Married","None","Pretty happy",NA,"Strong Rep","Slightly conservative","Not legal","Favor","No","Favor","Too little","Too little","Too little",NA,"Bush","Yes"
604,"South Central","Female","White","HS","Married","Protestant",NA,NA,"Strong Rep",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bush",NA
605,"South Central","Male","White","Graduate","Married","Protestant","Very happy","75000-89999","Not Str Rep","Conservative","Not legal","Favor","Yes","Oppose","Too little","About right","Too much","About right","Bush","Yes"
606,"South Central","Female","White","HS","Married","Protestant",NA,NA,"Strong Rep",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bush",NA
607,"South Central","Male","White","Graduate","Married","Protestant",NA,"60000-74999","Not Str Dem",NA,NA,NA,NA,NA,"Too little","Too little","Too little","Too little","Bush",NA
608,"South Central","Male","Other","Left HS","Separated","Christian","Pretty happy",NA,"Other party","Moderate",NA,"Favor","No","Favor",NA,NA,NA,NA,NA,"No"
609,"South Central","Female","Black","HS","Never Married","Protestant",NA,"10000-124999","Not Str Dem",NA,NA,NA,NA,NA,"About right","Too little","Too little","About right",NA,NA
610,"South Central","Female","White","Left HS","Widowed","Protestant",NA,NA,"Not Str Dem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
611,"South Central","Female","White","HS","Divorced","Protestant",NA,"7000-7999","Not Str Dem",NA,NA,NA,NA,NA,"About right","Too little","About right","About right","Gore",NA
612,"South Central","Female","White","Graduate","Married","Protestant","Very happy",NA,"Strong Rep","Conservative",NA,"Favor","No","Favor",NA,NA,NA,NA,"Bush","Yes"
613,"South Central","Female","White","Graduate","Divorced","Catholic","Pretty happy","30000-34999","Not Str Dem","Moderate","Legal","Oppose",NA,NA,"About right","Too little","About right","Too little",NA,"Yes"
614,"South Central","Male","White","HS","Married","None","Pretty happy","22500-24999","Ind, Near Dem","Moderate","Not legal","Oppose","No","Favor",NA,NA,NA,NA,NA,"No"
615,"South Central","Female","Other","HS","Married","Catholic",NA,NA,"Not Str Dem",NA,NA,NA,NA,NA,"Too much","About right","About right","Too little",NA,NA
616,"South Central","Male","White","HS","Married","Protestant",NA,"40000-49999","Strong Dem",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gore",NA
617,"North Central","Male","White","HS","Married","Protestant","Very happy","60000-74999","Not Str Rep","Slightly conservative",NA,"Favor","Yes","Favor","About right","Too little","About right","About right","Bush","Yes"
618,"North Central","Female","White","HS","Married","Protestant","Pretty happy","20000-22499","Not Str Dem","Slightly liberal","Legal","Favor",NA,NA,NA,NA,NA,NA,"Gore","Yes"
619,"North Central","Male","White","HS","Divorced","Protestant",NA,NA,"Strong Rep",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bush",NA
620,"North Central","Male","White","Left HS","Married","Protestant","Pretty happy","4000-4999","Not Str Dem","Moderate",NA,"Favor","Yes","Favor","About right","About right","About right","About right","Didnt vote","Yes"
621,"North Central","Female","White","HS","Married","Catholic","Very happy","10000-124999","Strong Rep","Conservative","Not legal","Favor",NA,NA,NA,NA,NA,NA,"Bush","Yes"
622,"North Central","Female","White","Left HS","Married","Catholic","Pretty happy","1000-2999","Ind, Near Dem","Moderate","Not legal","Oppose","No","Favor","Too little","Too little","Too little","Too little",NA,"Yes"
623,"North Central","Male","White","HS","Married","None",NA,"130000-149999","Ind",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
624,"North Central","Female","White","HS","Widowed","Protestant",NA,"130000-149999","Not Str Rep",NA,NA,NA,NA,NA,"About right","Too little","About right","About right",NA,NA
625,"North Central","Female","White","HS","Married","Protestant","Pretty happy","17500-19999","Not Str Rep","Moderate","Not legal",NA,NA,NA,"About right","Too little","Too little","About right","Bush","Yes"
626,"North Central","Male","White","HS","Never Married","Protestant",NA,"25000-29999","Not Str Rep",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bush",NA
627,"North Central","Male","White","HS","Married","None","Pretty happy","12500-14999","Ind","Slightly liberal",NA,"Oppose","Yes","Favor","Too much","Too little","Too little","Too little","Didnt vote",NA
628,"North Central","Male","White","Left HS","Never Married","Protestant","Pretty happy",NA,NA,"Conservative","Legal","Favor",NA,NA,NA,NA,NA,NA,NA,"No"
629,"North Central","Male","White","HS","Never Married","Protestant",NA,"30000-34999","Ind",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
630,"Mountain","Female","White","HS","Separated","Protestant",NA,"3000-3999","Other party",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
631,"Mountain","Male","White","HS","Never Married","Other","Pretty happy","15000-17499","Not Str Rep","Moderate",NA,"Favor","Yes","Favor",NA,NA,NA,NA,NA,"Yes"
632,"Mountain","Female","Other","Jr Col","Divorced","Catholic","Pretty happy",NA,"Not Str Rep","Slightly liberal","Legal","Favor","No","Favor",NA,NA,NA,NA,"Bush","Yes"
633,"Mountain","Male","White","Left HS","Separated","Protestant",NA,NA,"Strong Dem",NA,NA,NA,NA,NA,"About right","About right","About right","About right","Bush",NA
634,"Mountain","Female","Other","HS","Divorced","Catholic",NA,NA,"Strong Dem",NA,NA,NA,NA,NA,"About right","About right","Too little","Too much","Gore",NA
635,"Mountain","Male","White","HS","Married","Catholic","Pretty happy","22500-24999","Ind, Near Dem","Moderate",NA,"Favor","No","Favor",NA,NA,NA,NA,NA,"Yes"
636,"Mountain","Female","White","Bachelors","Married","Catholic","Pretty happy","20000-22499","Strong Dem","Moderate","Not legal","Favor",NA,NA,"About right","Too little","Too little","About right","Bush","Yes"
637,"Mountain","Female","White","HS","Never Married","Protestant","Pretty happy",NA,"Ind, Near Rep","Moderate","Not legal","Oppose","No","Oppose",NA,NA,NA,NA,NA,"Yes"
638,"Mountain","Female","White","Bachelors","Married","Catholic",NA,NA,"Strong Dem",NA,NA,NA,NA,NA,"About right","Too little","About right","Too little","Gore",NA
639,"Mountain","Female","White","HS","Widowed","Protestant",NA,NA,"Strong Rep",NA,NA,NA,NA,NA,"About right","About right","About right","About right",NA,NA
640,"Mountain","Female","Other","Jr Col","Married","Catholic",NA,NA,"Strong Rep",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bush",NA
641,"Mountain","Female","White","Left HS","Widowed","Protestant","Very happy",NA,"Strong Rep","Moderate","Not legal","Favor",NA,NA,NA,NA,NA,NA,"Bush","Yes"
642,"Mountain","Male","Other","Left HS","Never Married","None","Not too happy","17500-19999","Ind, Near Dem","Liberal","Legal","Favor","Yes","Favor",NA,"Too little","Too little","Too little",NA,"Yes"
643,"Mountain","Male","Other","Left HS","Never Married","Catholic",NA,"8000-9999","Not Str Dem",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gore",NA
644,"Mountain","Female","White","Left HS","Never Married","Catholic",NA,"under 1000","Ind, Near Dem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
645,"Mountain","Female","White","HS","Separated","Catholic",NA,"8000-9999","Not Str Dem",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gore",NA
646,"Mountain","Female","Other","HS","Married","Catholic",NA,"30000-34999","Not Str Dem",NA,NA,NA,NA,NA,"Too much","Too little","Too little","About right","Gore",NA
647,"Mountain","Female","Other","Jr Col","Divorced","Catholic","Very happy",NA,"Ind, Near Rep","Slightly conservative",NA,"Favor","No","Oppose",NA,NA,NA,NA,"Bush",NA
648,"Mountain","Male","White","Left HS","Never Married","Protestant",NA,NA,"Ind, Near Rep",NA,NA,NA,NA,NA,"Too little","Too little","Too much","Too much",NA,NA
649,"Mountain","Female","Other","HS","Divorced","Catholic",NA,"25000-29999","Not Str Dem",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gore",NA
650,"Mountain","Female","White","Left HS","Married","None",NA,NA,"Not Str Dem",NA,NA,NA,NA,NA,"About right","Too little","Too little",NA,NA,NA
651,"North Central","Female","White","Bachelors","Married","Catholic","Pretty happy","40000-49999","Ind, Near Dem","Slightly conservative","Legal","Favor","No","Favor",NA,NA,NA,NA,"Gore","Yes"
652,"North Central","Female","White","HS","Married","Protestant",NA,NA,"Not Str Dem",NA,NA,NA,NA,NA,"About right","Too little","About right","Too little","Gore",NA
653,"North Central","Female","White","HS","Married","Protestant",NA,"15000-17499","Not Str Rep",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bush",NA
654,"North Central","Male","White","HS","Married","Protestant","Pretty happy","50000-59999","Ind, Near Rep","Moderate","Legal","Favor","Yes","Oppose","About right","About right","Too little","Too little","Bush","Yes"
655,"North Central","Female","White","HS","Married","Catholic",NA,NA,"Not Str Dem",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gore",NA
656,"North Central","Male","White","Graduate","Married","Protestant","Very happy",NA,"Not Str Rep","Slightly conservative",NA,"Favor","Yes","Oppose","Too much","About right","Too much","Too much","Bush","Yes"
657,"North Central","Male","White","Bachelors","Married","Protestant","Very happy","25000-29999","Not Str Rep","Slightly conservative","Not legal","Favor","No","Favor","About right","Too little","About right","About right","Bush","Yes"
658,"North Central","Male","White","Left HS","Never Married","Protestant",NA,"7000-7999","Not Str Rep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
659,"North Central","Female","White","HS","Married","Protestant",NA,NA,"Strong Dem",NA,NA,NA,NA,NA,"Too much","About right","About right","About right","Gore",NA
660,"North Central","Female","White","HS","Widowed","Catholic","Pretty happy",NA,"Not Str Dem","Moderate",NA,"Favor","No","Favor",NA,NA,NA,NA,NA,NA
661,"North Central","Male","White","Left HS","Divorced","Catholic","Pretty happy",NA,"Strong Dem","Moderate","Not legal","Favor",NA,NA,"Too little","Too little","Too little","Too little","Gore","Yes"
662,"North Central","Male","White","HS","Widowed","Protestant","Not too happy",NA,"Strong Rep","Conservative","Legal","Oppose","Yes","Favor",NA,NA,NA,NA,"Bush",NA
663,"North Central","Female","White","Left HS","Widowed","Protestant",NA,NA,"Strong Dem",NA,NA,NA,NA,NA,"About right","Too little","Too little",NA,"Gore",NA
664,"North Central","Female","White","HS","Widowed","Protestant","Very happy",NA,"Ind, Near Rep","Conservative","Not legal","Favor",NA,NA,"About right","About right","About right","About right","Bush","Yes"
665,"North Central","Male","White","HS","Married","Catholic","Pretty happy","75000-89999","Ind","Moderate","Legal","Favor","No","Favor",NA,NA,NA,NA,"Bush","No"
666,"North Central","Female","White","Bachelors","Widowed","Protestant",NA,NA,"Not Str Dem",NA,NA,NA,NA,NA,"Too little","Too little","Too little","Too little","Gore",NA
667,"North Central","Male","White","Bachelors","Widowed","Catholic",NA,NA,"Ind",NA,NA,NA,NA,NA,"About right","Too much","Too little","About right",NA,NA
668,"North Central","Female","White","HS","Married","Catholic","Very happy",NA,"Strong Dem","Liberal",NA,"Oppose","Yes","Favor","About right","Too little","About right","About right","Gore","Yes"
669,"North Central","Female","White","Graduate","Married","Catholic","Pretty happy","40000-49999","Strong Dem","Moderate","Legal","Oppose","Yes","Favor","Too much","Too little","Too little","About right","Gore","Yes"
670,"North Central","Male","White","HS","Never Married","Catholic","Pretty happy","10000-124999","Strong Dem","Slightly liberal",NA,"Favor","Yes","Oppose","Too little","Too little","Too little","Too little","Bush","Yes"
671,"North Central","Male","White","Left HS","Never Married","None","Very happy","20000-22499","Ind","Slightly conservative","Legal","Favor",NA,NA,NA,NA,NA,NA,NA,"No"
672,"North Central","Female","White","HS","Never Married","None","Pretty happy","130000-149999","Ind, Near Rep","Slightly conservative",NA,"Favor","No","Favor",NA,NA,NA,NA,"Bush","Yes"
673,"North Central","Male","White","HS","Divorced","Protestant","Pretty happy",NA,"Ind, Near Dem","Slightly conservative","Legal","Favor",NA,NA,"Too much","About right","Too little","About right","Bush","Yes"
674,"Pacific","Male","White","Jr Col","Never Married","Protestant",NA,NA,"Ind, Near Rep",NA,NA,NA,NA,NA,"About right","Too little","Too little","Too much","Nader",NA
675,"Pacific","Male","White","Jr Col","Married","Catholic",NA,"30000-34999","Ind, Near Rep",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bush",NA
676,"Pacific","Female","White","Jr Col","Divorced","Protestant",NA,"20000-22499","Strong Dem",NA,NA,NA,NA,NA,"Too much","About right","Too little","About right","Nader",NA
677,"Pacific","Female","White","HS","Widowed","None","Pretty happy",NA,"Strong Dem","Liberal",NA,"Oppose","No","Favor",NA,NA,NA,NA,"Gore",NA
678,"Pacific","Male","White","HS","Married","Protestant","Pretty happy",NA,"Ind, Near Rep","Slightly conservative","Not legal","Oppose",NA,NA,"About right","About right",NA,"About right",NA,"Yes"
